"Date Printed: Monday, April 24, 2023 5:31:42 PM"
Title: "PrEP coverage and number of persons prescribed | 2021 | Alcona County, MI | Alger County, MI | Allegan County, MI | Alpena County, MI | Antrim County, MI | Arenac County, MI | Baraga County, MI | Barry County, MI | Bay County, MI | Benzie County, MI | Berrien County, MI | Branch County, MI | Calhoun County, MI | Cass County, MI | Charlevoix County, MI | Cheboygan County, MI | Chippewa County, MI | Clare County, MI | Clinton County, MI | Crawford County, MI | Delta County, MI | Dickinson County, MI | Eaton County, MI | Emmet County, MI | Genesee County, MI | Gladwin County, MI | Gogebic County, MI | Grand Traverse County, MI | Gratiot County, MI | Hillsdale County, MI | Houghton County, MI | Huron County, MI | Ingham County, MI | Ionia County, MI | Iosco County, MI | Iron County, MI | Isabella County, MI | Jackson County, MI | Kalamazoo County, MI | Kalkaska County, MI | Kent County, MI | Keweenaw County, MI | Lake County, MI | Lapeer County, MI | Leelanau County, MI | Lenawee County, MI | Livingston County, MI | Luce County, MI | Mackinac County, MI | Macomb County, MI | Manistee County, MI | Marquette County, MI | Mason County, MI | Mecosta County, MI | Menominee County, MI | Midland County, MI | Missaukee County, MI | Monroe County, MI | Montcalm County, MI | Montmorency County, MI | Muskegon County, MI | Newaygo County, MI | Oakland County, MI | Oceana County, MI | Ogemaw County, MI | Ontonagon County, MI | Osceola County, MI | Oscoda County, MI | Otsego County, MI | Ottawa County, MI | Presque Isle County, MI | Roscommon County, MI | Saginaw County, MI | Sanilac County, MI | Schoolcraft County, MI | Shiawassee County, MI | St. Clair County, MI | St. Joseph County, MI | Tuscola County, MI | Van Buren County, MI | Washtenaw County, MI | Wayne County, MI | Wexford County, MI | All races/ethnicities | Male | Ages 13 years and older | All transmission categories"
Footnote(s): PrEP coverage, reported as a percentage, is calculated as the number of persons aged &ge;16 years classified as having been prescribed PrEP divided by the estimated number of persons aged &ge;16 years who had indications for PrEP. Number prescribed, or “cases”, is defined as the number of persons aged &ge;16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP. “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Race/ethnicity data are adjusted due to large proportion of missing race/ethnicity. To allow for comparison with other HIV indicators, data are presented for &ge;13- and 13–24-year-olds, but represent &ge;16- and 16-24-years-olds, respectively. Number prescribed are reported through June 2022
NA - Not Applicable.



Indicator,Year,State,County,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Percent,Population
"PrEP coverage and number of persons prescribed","2021","MI","Clinton County","Clinton County, MI","26037","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Crawford County","Crawford County, MI","26039","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Delta County","Delta County, MI","26041","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Dickinson County","Dickinson County, MI","26043","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Eaton County","Eaton County, MI","26045","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Emmet County","Emmet County, MI","26047","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Genesee County","Genesee County, MI","26049","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","510"
"PrEP coverage and number of persons prescribed","2021","MI","Gladwin County","Gladwin County, MI","26051","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Gogebic County","Gogebic County, MI","26053","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Grand Traverse County","Grand Traverse County, MI","26055","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Gratiot County","Gratiot County, MI","26057","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Hillsdale County","Hillsdale County, MI","26059","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Houghton County","Houghton County, MI","26061","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Huron County","Huron County, MI","26063","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Ingham County","Ingham County, MI","26065","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","560"
"PrEP coverage and number of persons prescribed","2021","MI","Ionia County","Ionia County, MI","26067","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Iosco County","Iosco County, MI","26069","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Iron County","Iron County, MI","26071","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Isabella County","Isabella County, MI","26073","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Jackson County","Jackson County, MI","26075","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Kalamazoo County","Kalamazoo County, MI","26077","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","430"
"PrEP coverage and number of persons prescribed","2021","MI","Kalkaska County","Kalkaska County, MI","26079","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Kent County","Kent County, MI","26081","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","2,910"
"PrEP coverage and number of persons prescribed","2021","MI","Keweenaw County","Keweenaw County, MI","26083","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Lake County","Lake County, MI","26085","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Lapeer County","Lapeer County, MI","26087","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Leelanau County","Leelanau County, MI","26089","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Lenawee County","Lenawee County, MI","26091","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Livingston County","Livingston County, MI","26093","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Luce County","Luce County, MI","26095","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Mackinac County","Mackinac County, MI","26097","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Macomb County","Macomb County, MI","26099","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","1,960"
"PrEP coverage and number of persons prescribed","2021","MI","Manistee County","Manistee County, MI","26101","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Marquette County","Marquette County, MI","26103","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Mason County","Mason County, MI","26105","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Mecosta County","Mecosta County, MI","26107","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Menominee County","Menominee County, MI","26109","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Midland County","Midland County, MI","26111","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Missaukee County","Missaukee County, MI","26113","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Monroe County","Monroe County, MI","26115","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Montcalm County","Montcalm County, MI","26117","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Montmorency County","Montmorency County, MI","26119","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Muskegon County","Muskegon County, MI","26121","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Newaygo County","Newaygo County, MI","26123","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Oakland County","Oakland County, MI","26125","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","747","21.1","3,540"
"PrEP coverage and number of persons prescribed","2021","MI","Oceana County","Oceana County, MI","26127","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Ogemaw County","Ogemaw County, MI","26129","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Ontonagon County","Ontonagon County, MI","26131","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Osceola County","Osceola County, MI","26133","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Oscoda County","Oscoda County, MI","26135","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Otsego County","Otsego County, MI","26137","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Ottawa County","Ottawa County, MI","26139","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Presque Isle County","Presque Isle County, MI","26141","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Roscommon County","Roscommon County, MI","26143","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Saginaw County","Saginaw County, MI","26145","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Sanilac County","Sanilac County, MI","26151","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Schoolcraft County","Schoolcraft County, MI","26153","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Shiawassee County","Shiawassee County, MI","26155","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","St. Clair County","St. Clair County, MI","26147","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","St. Joseph County","St. Joseph County, MI","26149","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Tuscola County","Tuscola County, MI","26157","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Van Buren County","Van Buren County, MI","26159","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","MI","Washtenaw County","Washtenaw County, MI","26161","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","820"
"PrEP coverage and number of persons prescribed","2021","MI","Wayne County","Wayne County, MI","26163","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","1,418","19.0","7,480"
"PrEP coverage and number of persons prescribed","2021","MI","Wexford County","Wexford County, MI","26165","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
