"Date Printed: Monday, April 24, 2023 5:31:48 PM"
Title: "HIV prevalence | 2020 (COVID-19 Pandemic) | Alcona County, MI | Alger County, MI | Allegan County, MI | Alpena County, MI | Antrim County, MI | Arenac County, MI | Baraga County, MI | Barry County, MI | Bay County, MI | Benzie County, MI | Berrien County, MI | Branch County, MI | Calhoun County, MI | Cass County, MI | Charlevoix County, MI | Cheboygan County, MI | Chippewa County, MI | Clare County, MI | Clinton County, MI | Crawford County, MI | Delta County, MI | Dickinson County, MI | Eaton County, MI | Emmet County, MI | Genesee County, MI | Gladwin County, MI | Gogebic County, MI | Grand Traverse County, MI | Gratiot County, MI | Hillsdale County, MI | Houghton County, MI | Huron County, MI | Ingham County, MI | Ionia County, MI | Iosco County, MI | Iron County, MI | Isabella County, MI | Jackson County, MI | Kalamazoo County, MI | Kalkaska County, MI | Kent County, MI | Keweenaw County, MI | Lake County, MI | Lapeer County, MI | Leelanau County, MI | Lenawee County, MI | Livingston County, MI | Luce County, MI | Mackinac County, MI | Macomb County, MI | Manistee County, MI | Marquette County, MI | Mason County, MI | Mecosta County, MI | Menominee County, MI | Midland County, MI | Missaukee County, MI | Monroe County, MI | Montcalm County, MI | Montmorency County, MI | Muskegon County, MI | Newaygo County, MI | Oakland County, MI | Oceana County, MI | Ogemaw County, MI | Ontonagon County, MI | Osceola County, MI | Oscoda County, MI | Otsego County, MI | Ottawa County, MI | Presque Isle County, MI | Roscommon County, MI | Saginaw County, MI | Sanilac County, MI | Schoolcraft County, MI | Shiawassee County, MI | St. Clair County, MI | St. Joseph County, MI | Tuscola County, MI | Van Buren County, MI | Washtenaw County, MI | Wayne County, MI | Wexford County, MI | All races/ethnicities | Male | Ages 13 years and older | All transmission categories"
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
Prevalence data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
^ Jurisdiction with incomplete reporting of deaths for most recent year.
NA - Not Applicable.



Indicator,Year,State,County,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Kalkaska County","Kalkaska County, MI","26079","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","7,835"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Kent County","Kent County, MI","26081","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","836","312.3","267,676"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Keweenaw County","Keweenaw County, MI","26083","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","958"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Lake County","Lake County, MI","26085","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","5,158"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Lapeer County","Lapeer County, MI","26087","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","38,294"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Leelanau County","Leelanau County, MI","26089","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","9,498"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Lenawee County","Lenawee County, MI","26091","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","57","135.6","42,038"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Livingston County","Livingston County, MI","26093","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","82","99.2","82,628"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Luce County","Luce County, MI","26095","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","8","247.5","3,232"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Mackinac County","Mackinac County, MI","26097","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","10","203.8","4,907"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Macomb County","Macomb County, MI","26099","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","1,044","290.8","359,063"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Manistee County","Manistee County, MI","26101","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","20","176.5","11,334"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Marquette County","Marquette County, MI","26103","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","40","138.3","28,928"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Mason County","Mason County, MI","26105","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","15","121.4","12,359"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Mecosta County","Mecosta County, MI","26107","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","19","99.1","19,170"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Menominee County","Menominee County, MI","26109","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","10,117"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Midland County","Midland County, MI","26111","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","28","80.1","34,938"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Missaukee County","Missaukee County, MI","26113","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","6,418"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Monroe County","Monroe County, MI","26115","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","87","137.7","63,202"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Montcalm County","Montcalm County, MI","26117","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","27,847"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Montmorency County","Montmorency County, MI","26119","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","11","259.6","4,237"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Muskegon County","Muskegon County, MI","26121","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","165","230.0","71,726"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Newaygo County","Newaygo County, MI","26123","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","21,000"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Oakland County","Oakland County, MI","26125","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","1,776","339.0","523,968"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Oceana County","Oceana County, MI","26127","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","11,629"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Ogemaw County","Ogemaw County, MI","26129","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","9,104"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Ontonagon County","Ontonagon County, MI","26131","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","2,658"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Osceola County","Osceola County, MI","26133","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","12","119.9","10,006"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Oscoda County","Oscoda County, MI","26135","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","3,650"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Otsego County","Otsego County, MI","26137","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","8","76.7","10,432"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Ottawa County","Ottawa County, MI","26139","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","109","90.4","120,625"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Presque Isle County","Presque Isle County, MI","26141","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","5,640"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Roscommon County","Roscommon County, MI","26143","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","10,792"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Saginaw County","Saginaw County, MI","26145","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","196","252.6","77,586"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Sanilac County","Sanilac County, MI","26151","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","19","109.3","17,379"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Schoolcraft County","Schoolcraft County, MI","26153","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","3,527"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Shiawassee County","Shiawassee County, MI","26155","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","28,495"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","St. Clair County","St. Clair County, MI","26147","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","88","130.0","67,688"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","St. Joseph County","St. Joseph County, MI","26149","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","35","139.5","25,083"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Tuscola County","Tuscola County, MI","26157","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","22,563"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Van Buren County","Van Buren County, MI","26159","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","52","167.1","31,113"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Washtenaw County","Washtenaw County, MI","26161","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","479","304.6","157,239"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Wayne County","Wayne County, MI","26163","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","5,396","785.3","687,100"
"HIV prevalence","2020 (COVID-19 Pandemic)","MI","Wexford County","Wexford County, MI","26165","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","16","113.9","14,042"
